                   l                    t                   g4
                   0         0.0000000000         0.0000000000
                   1         0.0000023068         0.0002903319
                   1         0.0000053057         0.0002903319
                   1         0.0000089965         0.0003871093
                   1         0.0000136101         0.0003871093
                   2         0.0000196078         0.0002903319
                   2         0.0000272203         0.0006774412
                   2         0.0000369089         0.0012581051
                   2         0.0000493656         0.0019355463
                   2         0.0000655133         0.0021291009
                   3         0.0000865052         0.0034839834
                   3         0.0001137255         0.0051291977
                   3         0.0001490196         0.0067744121
                   3         0.0001946943         0.0083228491
                   3         0.0002539792         0.0110326140
                   3         0.0003310265         0.0128713829
                   3         0.0004311419         0.0189683538
                   3         0.0005612457         0.0210974548
                   3         0.0007303345         0.0239039969
                   3         0.0009499423         0.0279686441
                   3         0.0012352941         0.0350333882
                   3         0.0016062284         0.0454853382
                   3         0.0020883506         0.0552598471
                   3         0.0027151096         0.0736475370
                   3         0.0035298731         0.0919384496
                   3         0.0045889273         0.1162295558
                   3         0.0059656286         0.1392625569
                   3         0.0077552480         0.1898770928
                   3         0.0100816609         0.2368140908
                   3         0.0131058824         0.3191715862
                   3         0.0170373702         0.4257234104
                   3         0.0221480969         0.5545340172
                   3         0.0287919262         0.7389915804
                   3         0.0374288351         0.9369979677
                   3         0.0486567474         1.1915223072
                   3         0.0632528258         1.5387593148
                   3         0.0822276817         1.9725152424
                   3         0.1068948097         2.5694377238
                   3         0.1389619377         3.3171392626
                   3         0.1806491350         4.2931384883
                   3         0.2348424452         5.5376947643
                   3         0.3052936563         7.1579405787
                   3         0.3968800461         9.0447111197
                   3         0.5159423298        11.5375979870
                   9         0.6707231834        14.5939223846
                  12         0.8719381776        18.5686635053
                  17         1.1335176470        23.3748185425
                  22         1.4735709344        29.8791251331
                  38         1.9156401387        37.5009193845
                  51         2.4903301043        47.4277557341
                  56         3.2374269904        59.4328849318
                  64         4.2086528270        74.0646472467
                  79         5.4712463684        91.9348688667
                  84         7.1126177646       114.2027484758
                  87         9.2464004644       141.7565082745
                 100        12.0203178818       176.2327494435
                 118        15.6264103861       217.5885028549
                 132        20.3143305392       270.5947933804
                 142        26.4086266884       333.9045775670
                 164        34.3312111748       411.3225587922
                 188        44.6305707303       502.6830542921
                 213        58.0197378756       608.1341333591
                 249        75.4256545938       725.3333010742
                 297        98.0533460132       863.2882028453
                 355       127.4693430131      1020.3935933417
                 436       165.7101374519      1199.3291396497
                 500       196.8930809754      1328.5577276686
