                   l                    t                   g5
                   0         0.0000000000        -0.0000000000
                   1         0.0000023068         0.0002647659
                   1         0.0000053057         0.0003710905
                   1         0.0000089965         0.0005448605
                   1         0.0000136101         0.0004464432
                   2         0.0000196078         0.0003611501
                   2         0.0000272203         0.0008504325
                   2         0.0000369089         0.0012992766
                   2         0.0000493656         0.0018508624
                   2         0.0000655133         0.0019745477
                   3         0.0000865052         0.0030892784
                   3         0.0001137255         0.0043990138
                   3         0.0001490196         0.0062555863
                   3         0.0001946943         0.0079393305
                   3         0.0002539792         0.0100062888
                   3         0.0003310265         0.0118801029
                   3         0.0004311419         0.0169269703
                   3         0.0005612457         0.0183850857
                   3         0.0007303345         0.0202949828
                   3         0.0009499423         0.0244868125
                   3         0.0012352941         0.0311433093
                   3         0.0016062284         0.0399362538
                   3         0.0020883506         0.0484598375
                   3         0.0027151096         0.0649442974
                   3         0.0035298731         0.0791269233
                   3         0.0045889273         0.1037552044
                   3         0.0059656286         0.1241692730
                   3         0.0077552480         0.1699743188
                   3         0.0100816609         0.2127789330
                   3         0.0131058824         0.2880242734
                   3         0.0170373702         0.3820807920
                   3         0.0221480969         0.4986068312
                   3         0.0287919262         0.6362848063
                   3         0.0374288351         0.8046481011
                   3         0.0486567474         0.9898031111
                   3         0.0632528258         1.2589277277
                   3         0.0822276817         1.6180323637
                   3         0.1068948097         2.0883730834
                   3         0.1389619377         2.6794365766
                   3         0.1806491350         3.4718565729
                   3         0.2348424452         4.4559059618
                   3         0.3052936563         5.7297510104
                   3         0.3968800461         7.2295621743
                   3         0.5159423298         9.1350446814
                   9         0.6707231834        11.5049237547
                  12         0.8719381776        14.5822775237
                  17         1.1335176470        18.2067955446
                  22         1.4735709344        23.1977701785
                  38         1.9156401387        28.9857041561
                  51         2.4903301043        36.5210050040
                  56         3.2374269904        45.5385133285
                  64         4.2086528270        56.5903823028
                  79         5.4712463684        69.9636529150
                  84         7.1126177646        86.7455234764
                  87         9.2464004644       107.7401704238
                 100        12.0203178818       133.7755299103
                 118        15.6264103861       165.2868643323
                 132        20.3143305392       205.3472567588
                 142        26.4086266884       253.4167502459
                 164        34.3312111748       311.1974675621
                 188        44.6305707303       380.0445290625
                 213        58.0197378756       459.5121636011
                 249        75.4256545938       548.3597927284
                 297        98.0533460132       653.4221111276
                 355       127.4693430131       774.3317988075
                 436       165.7101374519       913.8066382405
                 500       196.8930809754      1014.8704471196
