                   x          segdensity2          segdensity2          segdensity3          segdensity4          segdensity5          segdensity6          segdensity7          segdensity8
 l=         100 t=   11.419400926604034     
                   1   225.84999999999999   431.04000000000002   485.38000000000000   446.44999999999999   223.64000000000001  4945.81999999999971  4049.68000000000029  3642.13999999999987
                   2   205.91000000000000   430.94000000000000   484.99000000000001   429.46000000000004   217.90000000000001  4924.44000000000051  4135.78999999999996  3620.57000000000016
                   3   168.22999999999999   311.68000000000001   381.19999999999999   310.49000000000001   147.05000000000001  4386.23999999999978  5059.30000000000018  3685.80999999999995
                   4   167.45000000000002   300.11000000000001   353.19999999999999   297.94000000000000   150.84000000000000  4334.44000000000051  5167.50000000000000  3678.51999999999998
                   5   202.31000000000000   311.18000000000001   345.00000000000000   330.06999999999999   146.94000000000000  3546.34999999999991  4178.19999999999982  5389.94999999999982
                   6   189.52000000000001   319.45999999999998   337.25999999999999   328.43000000000001   155.45000000000002  3582.92000000000007  4188.65999999999985  5348.30000000000018
                   7   169.59000000000000   434.68000000000001   550.74000000000001   432.47000000000003   225.83000000000001  4859.89000000000033  4031.22000000000025  3745.57999999999993
                   8   156.49000000000001   435.96000000000004   540.91999999999996   407.30000000000001   235.69000000000000  4924.56000000000040  4128.88000000000011  3620.20000000000027
                   9   161.06999999999999   319.66000000000003   372.00999999999999   320.37000000000000   155.47000000000000  4350.68000000000029  5087.01000000000022  3683.73000000000002
                  10   165.99000000000001   295.42000000000002   354.72000000000003   310.94000000000000   137.22999999999999  4352.94000000000051  5162.10000000000036  3670.65999999999985
                  11   141.70000000000002   297.47000000000003   348.38000000000000   252.70000000000002   148.27000000000001  3802.57999999999993  4139.17000000000007  5319.73000000000047
                  12   131.69000000000000   300.05000000000001   338.15000000000003   256.50999999999999   148.63000000000000  3839.51000000000022  4162.05000000000018  5273.40999999999985
                  13   210.23000000000002   441.57999999999998   509.98000000000002   490.29000000000002   227.56000000000000  4719.57999999999993  4035.43000000000029  3815.34999999999991
                  14   212.06000000000000   441.73000000000002   488.00000000000000   479.19000000000000   215.94000000000000  4751.01000000000022  4136.30000000000018  3725.76999999999998
                  15   173.65000000000001   320.11000000000001   361.78000000000003   274.07999999999998   163.37000000000000  4504.44000000000051  4989.80000000000018  3662.76999999999998
                  16   170.97000000000000   296.51999999999998   356.04000000000002   260.35000000000002   152.95000000000002  4497.90000000000055  5041.30000000000018  3673.97000000000025
                  17   152.25000000000000   296.20999999999998   346.76999999999998   308.51999999999998   150.18000000000001  3757.03999999999996  4249.10999999999967  5189.92000000000007
                  18   147.05000000000001   301.60000000000002   351.94999999999999   320.06999999999999   142.59999999999999  3809.71000000000004  4254.75000000000000  5122.27000000000044
                  19   210.80000000000001   450.75999999999999   541.26999999999998   421.79000000000002   229.97000000000000  4986.43000000000029  3649.17000000000007  3959.80999999999995
                  20   196.28000000000000   439.62000000000000   513.12000000000000   425.79000000000002   226.05000000000001  5035.10999999999967  3747.80999999999995  3866.22000000000025
                  21   171.81999999999999   314.25000000000000   364.44000000000000   333.82999999999998   140.49000000000001  4052.82000000000016  5356.10999999999967  3716.24000000000024
                  22   166.28999999999999   307.15000000000003   353.41000000000003   315.88999999999999   131.56999999999999  4058.07000000000016  5491.22000000000025  3626.40000000000009
                  23   134.78000000000000   308.81999999999999   362.06000000000000   315.86000000000001   159.90000000000001  3739.01000000000022  4238.38000000000011  5191.19000000000051
                  24   145.03000000000000   289.87000000000000   366.88999999999999   307.29000000000002   157.13000000000000  3793.84000000000015  4244.30000000000018  5145.65000000000055
                  25   221.90000000000001   426.81999999999999   496.37000000000000   440.75999999999999   226.33000000000001  5037.82999999999993  3663.59999999999991  3936.38999999999987
                  26   215.99000000000001   415.60000000000002   482.57999999999998   421.47000000000003   225.91000000000000  5135.55000000000018  3675.57999999999993  3877.32000000000016
