                   x             density1             density2             density3             density4             density5             density6             density7             density8
 l=         100
                   1     0.01562975778547     0.02982975778547     0.03359031141869     0.03089619377163     0.01547681660900     0.34227128027682     0.28025467128028     0.25205121107266
                   2     0.01424982698962     0.02982283737024     0.03356332179931     0.02972041522491     0.01507958477509     0.34079169550173     0.28621384083045     0.25055847750865
                   3     0.01164221453287     0.02156955017301     0.02638062283737     0.02148719723183     0.01017647058824     0.30354602076125     0.35012456747405     0.25507335640138
                   4     0.01158823529412     0.02076885813149     0.02444290657439     0.02061868512111     0.01043875432526     0.29996124567474     0.35761245674740     0.25456885813149
                   5     0.01400069204152     0.02153494809689     0.02387543252595     0.02284221453287     0.01016885813149     0.24542214532872     0.28914878892734     0.37300692041522
                   6     0.01311557093426     0.02210795847751     0.02333979238754     0.02272871972318     0.01075778546713     0.24795294117647     0.28987266435986     0.37012456747405
                   7     0.01173633217993     0.03008166089965     0.03811349480969     0.02992871972318     0.01562837370242     0.33632456747405     0.27897716262976     0.25920968858131
                   8     0.01082975778547     0.03017024221453     0.03743391003460     0.02818685121107     0.01631072664360     0.34080000000000     0.28573564013841     0.25053287197232
                   9     0.01114671280277     0.02212179930796     0.02574463667820     0.02217093425606     0.01075916955017     0.30108512110727     0.35204221453287     0.25492941176471
                  10     0.01148719723183     0.02044429065744     0.02454809688581     0.02151833910035     0.00949688581315     0.30124152249135     0.35723875432526     0.25402491349481
                  11     0.00980622837370     0.02058615916955     0.02410934256055     0.01748788927336     0.01026089965398     0.26315432525952     0.28644775086505     0.36814740484429
                  12     0.00911349480969     0.02076470588235     0.02340138408304     0.01775155709343     0.01028581314879     0.26571003460208     0.28803114186851     0.36494186851211
                  13     0.01454878892734     0.03055916955017     0.03529273356401     0.03393010380623     0.01574809688581     0.32661453287197     0.27926851211073     0.26403806228374
                  14     0.01467543252595     0.03056955017301     0.03377162629758     0.03316193771626     0.01494394463668     0.32878961937716     0.28624913494810     0.25783875432526
                  15     0.01201730103806     0.02215294117647     0.02503667820069     0.01896747404844     0.01130588235294     0.31172595155709     0.34531487889273     0.25347889273356
                  16     0.01183183391003     0.02052041522491     0.02463944636678     0.01801730103806     0.01058477508651     0.31127335640138     0.34887889273356     0.25425397923875
                  17     0.01053633217993     0.02049896193772     0.02399792387543     0.02135086505190     0.01039307958478     0.26000276816609     0.29405605536332     0.35916401384083
                  18     0.01017647058824     0.02087197231834     0.02435640138408     0.02215017301038     0.00986851211073     0.26364775086505     0.29444636678201     0.35448235294118
                  19     0.01458823529412     0.03119446366782     0.03745813148789     0.02918961937716     0.01591487889273     0.34508166089965     0.25253771626298     0.27403529411765
                  20     0.01358339100346     0.03042352941176     0.03551003460208     0.02946643598616     0.01564359861592     0.34845051903114     0.25936401384083     0.26755847750865
                  21     0.01189065743945     0.02174740484429     0.02522076124567     0.02310242214533     0.00972249134948     0.28047197231834     0.37066505190311     0.25717923875433
                  22     0.01150795847751     0.02125605536332     0.02445743944637     0.02186089965398     0.00910519031142     0.28083529411765     0.38001522491349     0.25096193771626
                  23     0.00932733564014     0.02137162629758     0.02505605536332     0.02185882352941     0.01106574394464     0.25875501730104     0.29331349480969     0.35925190311419
                  24     0.01003667820069     0.02006020761246     0.02539031141869     0.02126574394464     0.01087404844291     0.26254948096886     0.29372318339100     0.35610034602076
                  25     0.01535640138408     0.02953771626298     0.03435086505190     0.03050242214533     0.01566297577855     0.34863875432526     0.25353633217993     0.27241453287197
                  26     0.01494740484429     0.02876124567474     0.03339653979239     0.02916747404844     0.01563391003460     0.35540138408304     0.25436539792388     0.26832664359862
                  27     0.01195709342561     0.02363044982699     0.02404705882353     0.02282975778547     0.01115155709343     0.28742560553633     0.30395294117647     0.31500553633218
                  28     0.01162214532872     0.02137439446367     0.02406366782007     0.02199584775087     0.01022491349481     0.28809688581315     0.31108304498270     0.31153910034602
                  29     0.01008650519031     0.01982076124567     0.02621245674740     0.02107474048443     0.01068304498270     0.26006435986159     0.35981522491349     0.29224290657439
                  30     0.00942352941176     0.02118615916955     0.02518961937716     0.02199100346021     0.01077024221453     0.26088304498270     0.36260346020761     0.28795294117647
                  31     0.01582145328720     0.03147958477509     0.03754463667820     0.02992733564014     0.01437993079585     0.27498062283737     0.25442906574394     0.34143737024221
                  32     0.01597301038062     0.03057093425606     0.03499169550173     0.02930034602076     0.01482422145329     0.27743114186851     0.25952110726644     0.33738754325260
                  33     0.01010865051903     0.02306782006920     0.02562352941176     0.02195294117647     0.01004429065744     0.36444567474048     0.28828442906574     0.25647266435986
                  34     0.00945190311419     0.02195778546713     0.02534463667820     0.02102422145329     0.01047335640138     0.36234948096886     0.29644913494810     0.25294948096886
                  35     0.01014325259516     0.01991557093426     0.02462352941176     0.01823460207612     0.01117162629758     0.24929896193772     0.37373079584775     0.29288166089965
                  36     0.01052595155709     0.02056539792388     0.02491072664360     0.01810934256055     0.01090449826990     0.24739930795848     0.37573425605536     0.29185051903114
                  37     0.01726782006920     0.02933702422145     0.03219446366782     0.03357854671280     0.01561245674740     0.27949757785467     0.25772249134948     0.33478961937716
                  38     0.01610865051903     0.02944982698962     0.03307750865052     0.03248027681661     0.01546020761246     0.28226782006920     0.25920830449827     0.33194740484429
                  39     0.00975501730104     0.02191695501730     0.02581384083045     0.01899169550173     0.01073979238754     0.35625951557093     0.29807197231834     0.25845121107266
                  40     0.00937508650519     0.02052941176471     0.02352387543253     0.01819930795848     0.00948027681661     0.36155086505190     0.30294878892734     0.25439238754325
                  41     0.01091695501730     0.02129757785467     0.02551211072664     0.02185121107266     0.01013771626298     0.26371349480969     0.36495570934256     0.28161522491349
                  42     0.01032041522491     0.02131211072664     0.02436747404844     0.02082422145329     0.01105813148789     0.26342975778547     0.36895017301038     0.27973771626298
                  43     0.01521937716263     0.03110934256055     0.03550311418685     0.02934671280277     0.01555570934256     0.27126366782007     0.25555363321799     0.34644844290657
