                   l                    t                   g2
                   0         0.0000000000         0.0000000000
                   1         0.0000023068         0.0001966155
                   1         0.0000053057         0.0002936209
                   1         0.0000089965         0.0003133835
                   1         0.0000136101         0.0002959724
                   2         0.0000196078         0.0004878686
                   2         0.0000272203         0.0007889848
                   2         0.0000369089         0.0010369836
                   2         0.0000493656         0.0013660453
                   2         0.0000655133         0.0015488816
                   3         0.0000865052         0.0025412768
                   3         0.0001137255         0.0034212696
                   3         0.0001490196         0.0043589264
                   3         0.0001946943         0.0063621612
                   3         0.0002539792         0.0074185675
                   3         0.0003310265         0.0087132181
                   3         0.0004311419         0.0097175085
                   3         0.0005612457         0.0113743008
                   3         0.0007303345         0.0116898030
                   3         0.0009499423         0.0122941773
                   3         0.0012352941         0.0154084248
                   3         0.0016062284         0.0196085041
                   3         0.0020883506         0.0224286710
                   3         0.0027151096         0.0286324256
                   3         0.0035298731         0.0384956508
                   3         0.0045889273         0.0543176506
                   3         0.0059656286         0.0767052159
                   3         0.0077552480         0.1013460356
                   3         0.0100816609         0.1283650515
                   3         0.0131058824         0.1697367142
                   3         0.0170373702         0.2208469302
                   3         0.0221480969         0.2749140927
                   3         0.0287919262         0.3342092551
                   3         0.0374288351         0.3921279721
                   3         0.0486567474         0.4681964210
                   3         0.0632528258         0.5801910108
                   3         0.0822276817         0.7244349263
                   3         0.1068948097         0.8795270934
                   3         0.1389619377         1.0894362134
                   3         0.1806491350         1.3855385862
                   3         0.2348424452         1.6863782419
                   3         0.3052936563         2.0824515999
                   3         0.3968800461         2.4971296293
                   3         0.5159423298         3.1224173866
                   9         0.6707231834         3.7593032985
                  12         0.8719381776         4.4802819157
                  17         1.1335176470         5.3534247844
                  22         1.4735709344         7.0089673514
                  38         1.9156401387         8.2290881088
                  51         2.4903301043         9.9348447879
                  56         3.2374269904        11.7646011471
                  64         4.2086528270        14.0225627979
                  79         5.4712463684        16.4399453774
                  84         7.1126177646        19.8570894651
                  87         9.2464004644        23.8709496506
                 100        12.0203178818        29.0799155769
                 118        15.6264103861        34.9013702746
                 132        20.3143305392        41.9773295935
                 142        26.4086266884        51.3088036624
                 164        34.3312111748        61.2994919817
                 188        44.6305707303        73.2096369113
                 213        58.0197378756        86.2264478658
                 249        75.4256545938       100.6882750004
                 297        98.0533460132       116.9717138280
                 355       127.4693430131       136.4864661544
                 436       165.7101374519       158.9718958377
                 500       196.8930809754       178.3077651270
