                   l               thetax            thetaxdev               thetay            thetaydev               thetaz            thetazdev
                 100    -0.49437337301216     0.00174820266612    -0.46113841200115     0.00325023689362     0.95551178501330     0.00495902200644
                 200    -0.47267420607264     0.01124893688925    -0.42134334348122     0.01833254964957     0.89401754955387     0.02953896671997
                 300    -0.43740266030621     0.00694434080247    -0.37470117389824     0.00559307066330     0.81210383420446     0.01226483191071
                 400    -0.42363815289343     0.00271659463679    -0.36893019610943     0.00279437410613     0.79256834900287     0.00525645484195
                 500    -0.41682551165826     0.00280025187571    -0.36126899671390     0.00282633811724     0.77809450837217     0.00545435702795
