                   l                  sxy                  sxz                  syz                  sxx                  syy                  szz
                 100    -0.00134224985913    -0.00000414357919     0.00001742599971     0.45141904671528     0.06489081248996     0.48369014079476
                 200    -0.00015183912082    -0.00001148962450     0.00002112447924     0.34776941557500     0.20039619331818     0.45183439110682
                 300     0.00000219998973    -0.00005224245112     0.00001827177168     0.30067971176500     0.26964723740478     0.42967305083023
                 400     0.00000364735326    -0.00002790947000     0.00001133436391     0.29541962160978     0.28543789097815     0.41914248741207
                 500    -0.00003460376847     0.00003823087788    -0.00007613971085     0.29581404107773     0.29165460205924     0.41253135686303
