                   l                    t                   g3
                   0         0.0000000000         0.0000000000
                   1         0.0000023068         0.0001656468
                   1         0.0000053057         0.0002719715
                   1         0.0000089965         0.0003655715
                   1         0.0000136101         0.0002671543
                   2         0.0000196078         0.0002654958
                   2         0.0000272203         0.0004383555
                   2         0.0000369089         0.0004947353
                   2         0.0000493656         0.0005942412
                   2         0.0000655133         0.0007542380
                   3         0.0000865052         0.0014918101
                   3         0.0001137255         0.0019116851
                   3         0.0001490196         0.0025254442
                   3         0.0001946943         0.0032354469
                   3         0.0002539792         0.0051374746
                   3         0.0003310265         0.0048851582
                   3         0.0004311419         0.0058887879
                   3         0.0005612457         0.0065153436
                   3         0.0007303345         0.0070881439
                   3         0.0009499423         0.0084431030
                   3         0.0012352941         0.0094843479
                   3         0.0016062284         0.0133006712
                   3         0.0020883506         0.0151536987
                   3         0.0027151096         0.0205907294
                   3         0.0035298731         0.0267950580
                   3         0.0045889273         0.0355828948
                   3         0.0059656286         0.0416995588
                   3         0.0077552480         0.0512827889
                   3         0.0100816609         0.0626931312
                   3         0.0131058824         0.0825559253
                   3         0.0170373702         0.1123733367
                   3         0.0221480969         0.1384945687
                   3         0.0287919262         0.1868730267
                   3         0.0374288351         0.2231367780
                   3         0.0486567474         0.2868549514
                   3         0.0632528258         0.3545330944
                   3         0.0822276817         0.4519958246
                   3         0.1068948097         0.5615524021
                   3         0.1389619377         0.7248833530
                   3         0.1806491350         0.9307945178
                   3         0.2348424452         1.1891572440
                   3         0.3052936563         1.4795332698
                   3         0.3968800461         1.8311308949
                   3         0.5159423298         2.2805386779
                   9         0.6707231834         2.8162500681
                  12         0.8719381776         3.4803222054
                  17         1.1335176470         4.2433589722
                  22         1.4735709344         5.4617943438
                  38         1.9156401387         6.6675806513
                  51         2.4903301043         8.2711551429
                  56         3.2374269904        10.0449000512
                  64         4.2086528270        12.2324966144
                  79         5.4712463684        14.8192946541
                  84         7.1126177646        17.8723676905
                  87         9.2464004644        21.7968880773
                 100        12.0203178818        26.7597428414
                 118        15.6264103861        32.5892089735
                 132        20.3143305392        40.0189961426
                 142        26.4086266884        48.8967322413
                 164        34.3312111748        59.7367373549
                 188        44.6305707303        72.1200981695
                 213        58.0197378756        86.5625477308
                 249        75.4256545938       103.2648524493
                 297        98.0533460132       122.3229515212
                 355       127.4693430131       144.7800160037
                 436       165.7101374519       169.9608186230
                 500       196.8930809754       188.4715987966
